iter	Passed	Remaining
0	50	25149
1	53	13253
2	54	9106
3	56	7017
4	58	5768
5	59	4930
6	61	4337
7	63	3923
8	65	3574
9	67	3310
10	69	3096
11	71	2899
12	73	2745
13	75	2610
14	77	2493
15	78	2386
16	80	2297
17	82	2215
18	84	2139
19	86	2076
20	88	2016
21	90	1964
22	94	1970
23	97	1927
24	100	1906
25	103	1880
26	104	1835
27	107	1812
28	110	1791
29	112	1768
30	115	1746
31	118	1729
32	119	1695
33	121	1662
34	122	1632
35	124	1603
36	125	1576
37	127	1551
38	129	1527
39	130	1504
40	132	1483
41	133	1460
42	135	1439
43	137	1421
44	138	1402
45	140	1383
46	141	1366
47	143	1350
48	144	1334
49	146	1319
50	148	1303
51	149	1288
52	151	1275
53	152	1261
54	154	1248
55	155	1236
56	157	1224
57	159	1213
58	160	1202
59	162	1191
60	164	1180
61	165	1169
62	167	1158
63	168	1148
64	170	1139
65	171	1130
66	173	1120
67	174	1111
68	176	1102
69	177	1093
70	179	1085
71	181	1077
72	183	1071
73	184	1063
74	186	1055
75	187	1047
76	189	1040
77	191	1033
78	192	1026
79	194	1019
80	195	1012
81	197	1005
82	198	998
83	200	991
84	201	985
85	203	979
86	205	973
87	206	967
88	208	962
89	209	956
90	211	950
91	213	945
92	214	939
93	216	933
94	217	928
95	219	922
96	220	916
97	222	911
98	223	906
99	225	901
100	227	896
101	228	891
102	229	886
103	231	881
104	233	876
105	234	872
106	236	867
107	237	862
108	239	858
109	240	853
110	242	849
111	243	844
112	245	840
113	246	835
114	248	831
115	249	827
116	251	823
117	253	819
118	254	815
119	256	811
120	257	807
121	259	803
122	260	799
123	262	796
124	264	792
125	265	788
126	267	784
127	268	781
128	270	777
129	271	773
130	273	770
131	275	766
132	276	763
133	278	760
134	279	756
135	281	753
136	282	749
137	284	746
138	286	742
139	287	739
140	289	736
141	290	732
142	292	729
143	293	726
144	295	722
145	296	719
146	298	716
147	300	713
148	301	710
149	303	707
150	304	704
151	306	701
152	308	698
153	309	695
154	311	692
155	312	689
156	314	686
157	315	683
158	317	680
159	318	677
160	320	675
161	322	672
162	323	669
163	325	666
164	327	664
165	328	661
166	330	658
167	331	655
168	333	653
169	334	650
170	336	647
171	338	644
172	339	642
173	341	639
174	342	636
175	344	634
176	346	631
177	347	629
178	349	626
179	351	624
180	352	621
181	354	618
182	355	616
183	357	613
184	358	610
185	360	608
186	361	605
187	363	602
188	364	600
189	366	597
190	368	595
191	369	593
192	371	590
193	372	588
194	374	585
195	376	583
196	377	580
197	379	578
198	380	576
199	382	573
200	384	571
201	385	568
202	387	566
203	388	564
204	390	561
205	392	559
206	393	557
207	395	554
208	396	552
209	398	550
210	400	548
211	402	547
212	404	544
213	405	542
214	407	540
215	409	537
216	410	535
217	412	533
218	413	530
219	415	528
220	416	526
221	418	524
222	420	521
223	421	519
224	423	517
225	424	515
226	426	512
227	428	510
228	429	508
229	431	506
230	432	503
231	434	501
232	435	499
233	437	497
234	439	495
235	440	492
236	442	490
237	443	488
238	445	486
239	447	484
240	448	482
241	449	479
242	451	477
243	453	475
244	454	473
245	456	471
246	457	468
247	459	466
248	460	464
249	462	462
250	463	460
251	465	457
252	466	455
253	468	453
254	470	451
255	471	449
256	473	447
257	475	445
258	476	443
259	478	441
260	479	439
261	481	437
262	482	435
263	484	433
264	485	430
265	487	428
266	489	426
267	490	424
268	492	422
269	493	420
270	495	418
271	497	417
272	499	415
273	500	413
274	502	411
275	504	409
276	505	407
277	507	405
278	508	403
279	510	401
280	512	399
281	513	397
282	515	395
283	516	393
284	518	391
285	520	389
286	521	387
287	523	385
288	524	383
289	526	381
290	527	379
291	529	377
292	530	375
293	532	372
294	533	371
295	535	369
296	537	367
297	538	365
298	540	363
299	541	361
300	543	359
301	545	357
302	546	355
303	548	353
304	549	351
305	551	349
306	552	347
307	554	345
308	555	343
309	557	341
310	559	339
311	560	337
312	562	335
313	564	334
314	565	332
315	567	330
316	568	328
317	570	326
318	571	324
319	573	322
320	574	320
321	576	318
322	577	316
323	579	314
324	581	312
325	582	310
326	584	309
327	585	307
328	587	305
329	589	303
330	590	301
331	592	299
332	593	297
333	595	295
334	596	294
335	598	292
336	600	290
337	601	288
338	603	286
339	604	284
340	606	282
341	607	280
342	609	279
343	611	277
344	612	275
345	614	273
346	615	271
347	617	269
348	619	267
349	620	266
350	622	264
351	623	262
352	625	260
353	626	258
354	628	256
355	630	254
356	631	253
357	633	251
358	634	249
359	636	247
360	638	245
361	639	243
362	641	242
363	643	240
364	644	238
365	646	236
366	647	234
367	649	232
368	650	231
369	652	229
370	654	227
371	655	225
372	657	223
373	658	221
374	660	220
375	662	218
376	663	216
377	665	214
378	666	212
379	668	211
380	669	209
381	671	207
382	672	205
383	674	203
384	675	201
385	677	200
386	679	198
387	680	196
388	682	194
389	683	192
390	685	191
391	686	189
392	688	187
393	690	185
394	691	183
395	693	182
396	694	180
397	696	178
398	697	176
399	699	174
400	701	173
401	702	171
402	704	169
403	705	167
404	707	165
405	709	164
406	710	162
407	712	160
408	713	158
409	715	157
410	716	155
411	718	153
412	720	151
413	721	149
414	723	148
415	724	146
416	726	144
417	728	142
418	729	141
419	731	139
420	732	137
421	734	135
422	735	133
423	737	132
424	739	130
425	740	128
426	742	126
427	743	125
428	745	123
429	746	121
430	748	119
431	750	118
432	752	116
433	753	114
434	755	112
435	756	111
436	758	109
437	759	107
438	761	105
439	763	104
440	764	102
441	766	100
442	767	98
443	769	97
444	770	95
445	772	93
446	774	91
447	775	90
448	777	88
449	779	86
450	780	84
451	782	83
452	783	81
453	785	79
454	786	77
455	788	76
456	789	74
457	791	72
458	792	70
459	794	69
460	796	67
461	797	65
462	799	63
463	801	62
464	802	60
465	804	58
466	805	56
467	807	55
468	809	53
469	811	51
470	812	50
471	814	48
472	815	46
473	817	44
474	819	43
475	820	41
476	822	39
477	824	37
478	825	36
479	827	34
480	828	32
481	830	31
482	831	29
483	833	27
484	834	25
485	836	24
486	838	22
487	839	20
488	841	18
489	842	17
490	844	15
491	845	13
492	847	12
493	849	10
494	850	8
495	852	6
496	853	5
497	855	3
498	856	1
499	858	0
