iter	Passed	Remaining
0	73	36760
1	80	20098
2	82	13726
3	84	10536
4	88	8802
5	94	7748
6	95	6744
7	97	6022
8	99	5423
9	100	4945
10	102	4572
11	104	4255
12	106	3986
13	108	3750
14	109	3545
15	116	3533
16	121	3466
17	127	3404
18	132	3366
19	138	3331
20	144	3287
21	151	3283
22	153	3192
23	155	3090
24	157	2996
25	159	2906
26	161	2821
27	162	2740
28	164	2673
29	166	2607
30	168	2545
31	169	2484
32	171	2427
33	174	2391
34	176	2342
35	178	2295
36	180	2257
37	182	2213
38	183	2174
39	185	2133
40	188	2106
41	189	2069
42	192	2046
43	198	2060
44	201	2038
45	212	2093
46	217	2093
47	220	2077
48	222	2052
49	224	2022
50	226	1994
51	229	1977
52	231	1954
53	233	1927
54	235	1901
55	236	1876
56	238	1852
57	240	1829
58	241	1806
59	243	1784
60	246	1771
61	248	1752
62	249	1731
63	251	1713
64	253	1694
65	254	1676
66	256	1659
67	259	1651
68	261	1635
69	263	1619
70	265	1603
71	267	1590
72	269	1577
73	271	1561
74	273	1547
75	274	1533
76	276	1518
77	278	1508
78	280	1494
79	282	1482
80	284	1470
81	286	1457
82	287	1446
83	289	1433
84	291	1422
85	293	1412
86	295	1400
87	296	1390
88	298	1379
89	300	1368
90	302	1357
91	303	1346
92	305	1335
93	307	1326
94	308	1316
95	310	1306
96	313	1302
97	315	1293
98	316	1283
99	318	1274
100	320	1264
101	322	1257
102	324	1250
103	326	1242
104	328	1234
105	330	1228
106	333	1225
107	335	1219
108	339	1218
109	342	1212
110	344	1205
111	346	1198
112	347	1191
113	349	1182
114	350	1175
115	352	1167
116	354	1160
117	356	1153
118	357	1145
119	359	1139
120	361	1132
121	363	1125
122	365	1118
123	366	1111
124	368	1104
125	370	1098
126	371	1092
127	373	1085
128	375	1080
129	377	1073
130	378	1067
131	380	1060
132	382	1054
133	383	1048
134	385	1043
135	387	1037
136	389	1031
137	391	1027
138	393	1021
139	394	1015
140	396	1009
141	398	1003
142	400	998
143	401	993
144	403	988
145	405	982
146	407	977
147	408	972
148	410	967
149	412	961
150	413	956
151	415	951
152	417	947
153	420	945
154	422	941
155	424	935
156	426	931
157	428	927
158	430	923
159	433	921
160	437	920
161	439	916
162	443	916
163	445	912
164	447	908
165	450	905
166	452	901
167	454	897
168	455	892
169	457	887
170	461	888
171	463	883
172	464	878
173	466	873
174	468	870
175	470	865
176	471	861
177	473	856
178	474	851
179	478	850
180	480	846
181	482	842
182	483	837
183	485	833
184	487	829
185	488	825
186	490	820
187	491	816
188	494	813
189	496	809
190	533	863
191	537	862
192	540	860
193	542	855
194	553	865
195	555	860
196	556	856
197	559	853
198	561	849
199	564	847
200	568	846
201	570	842
202	572	837
203	575	835
204	577	830
205	578	825
206	579	820
207	581	816
208	582	811
209	584	807
210	586	803
211	587	798
212	590	795
213	593	792
214	595	789
215	598	787
216	601	784
217	603	780
218	605	776
219	608	774
220	611	771
221	614	769
222	616	765
223	617	760
224	618	756
225	620	752
226	622	748
227	626	746
228	628	744
229	631	741
230	633	738
231	636	734
232	638	731
233	641	729
234	643	725
235	645	721
236	647	718
237	648	714
238	650	710
239	651	706
240	653	702
241	655	698
242	658	696
243	660	693
244	663	690
245	666	687
246	668	684
247	670	680
248	672	677
249	674	674
250	676	671
251	681	670
252	685	668
253	687	665
254	691	664
255	693	661
256	696	658
257	698	654
258	699	651
259	702	648
260	705	645
261	707	642
262	709	639
263	711	635
264	713	632
265	714	628
266	717	626
267	719	622
268	721	619
269	724	617
270	727	614
271	729	611
272	731	608
273	734	606
274	737	603
275	740	600
276	743	598
277	746	596
278	748	593
279	750	589
280	751	585
281	753	582
282	754	578
283	756	575
284	758	571
285	759	568
286	761	565
287	763	561
288	765	559
289	767	555
290	769	552
291	771	549
292	772	546
293	774	542
294	776	539
295	778	536
296	779	533
297	781	529
298	783	526
299	785	523
300	786	520
301	788	516
302	789	513
303	791	510
304	793	507
305	795	504
306	796	501
307	798	497
308	800	494
309	802	491
310	803	488
311	805	485
312	807	482
313	808	479
314	810	476
315	812	473
316	814	470
317	817	468
318	819	464
319	821	461
320	822	458
321	824	455
322	826	452
323	827	449
324	829	446
325	831	443
326	833	440
327	834	437
328	836	434
329	838	431
330	839	428
331	841	425
332	843	422
333	845	420
334	847	417
335	849	414
336	851	412
337	854	409
338	857	407
339	859	404
340	861	401
341	865	399
342	866	396
343	868	393
344	870	391
345	872	388
346	874	385
347	876	382
348	878	380
349	880	377
350	882	374
351	883	371
352	885	368
353	886	365
354	888	362
355	890	360
356	892	357
357	894	354
358	896	351
359	897	349
360	899	346
361	901	343
362	902	340
363	905	338
364	907	335
365	909	332
366	911	330
367	913	327
368	915	324
369	917	322
370	919	319
371	921	317
372	924	314
373	927	312
374	930	310
375	932	307
376	934	304
377	936	302
378	937	299
379	939	296
380	942	294
381	944	291
382	945	288
383	947	286
384	948	283
385	950	280
386	952	278
387	954	275
388	956	272
389	958	270
390	959	267
391	961	264
392	963	262
393	964	259
394	966	256
395	968	254
396	969	251
397	971	248
398	973	246
399	975	243
400	976	241
401	978	238
402	979	235
403	981	233
404	983	230
405	985	228
406	987	225
407	989	223
408	991	220
409	992	217
410	994	215
411	995	212
412	997	210
413	999	207
414	1001	205
415	1003	202
416	1005	200
417	1006	197
418	1008	194
419	1009	192
420	1012	190
421	1014	187
422	1016	185
423	1018	182
424	1020	180
425	1022	177
426	1024	175
427	1025	172
428	1027	170
429	1029	167
430	1031	165
431	1032	162
432	1034	160
433	1036	157
434	1038	155
435	1039	152
436	1041	150
437	1043	147
438	1045	145
439	1047	142
440	1049	140
441	1050	137
442	1052	135
443	1054	132
444	1055	130
445	1057	128
446	1059	125
447	1061	123
448	1063	120
449	1065	118
450	1067	115
451	1068	113
452	1070	111
453	1072	108
454	1073	106
455	1075	103
456	1077	101
457	1079	98
458	1082	96
459	1084	94
460	1086	91
461	1087	89
462	1089	87
463	1091	84
464	1093	82
465	1095	79
466	1097	77
467	1099	75
468	1100	72
469	1102	70
470	1104	67
471	1105	65
472	1107	63
473	1109	60
474	1111	58
475	1113	56
476	1114	53
477	1116	51
478	1118	49
479	1119	46
480	1121	44
481	1123	41
482	1125	39
483	1126	37
484	1128	34
485	1130	32
486	1131	30
487	1133	27
488	1135	25
489	1137	23
490	1139	20
491	1141	18
492	1143	16
